id,name,type,nationality,team,debut_year,last_year,active,birth_year,country,region
ws76,Wojciech Skupien,1,Polish,WKS Zakopane,1992,2009,no,1976,NA,NA
ti,Tommy Ingebrigsten,1,Norwegian,Byaasen IL,1993,2007,no,1977,NA,NA
tk,Tami Kiuru,1,Finnish,Lahden Hiihtoseura,1993,2009,no,1976,NA,NA
al84,Arttu Lappi,1,Finnish,Puijon Hiihtoseura,2001,2010,no,1984,NA,NA
br,Bjoern Einar Romoeren,1,Norwegian,Oevrevoll Hosle IL,2001,2014,no,1981,NA,NA
rb,Rok Benkovic,1,Slovenian,SSK Menges,2001,2007,no,1986,NA,NA
gs81,Georg Spaeth,1,German,SC Oberstdorf,1998,2012,no,1981,NA,NA
rl,Roar Ljoekelsoey,1,Norwegian,Orkdal IL,1993,2010,no,1976,NA,NA
sp,Sigurd Pettersen,1,Norwegian,Rollag Veggli,2001,2009,no,1980,NA,NA
jh79,Jussi Hautamaeki,1,Finnish,Puijon Hiihtoseura,1995,2009,no,1979,NA,NA
jh98,Jan Hoerl,1,Austrian,SC Bischofshofen,2014,NA,yes,1998,NA,NA
ak84,Andreas Kofler,1,Austrian,SV Innsbruck Bergisel,2002,2019,no,1984,NA,NA
gs90,Gregor Schlierenzauer,1,Austrian,SV Innsbruck Bergisel,2004,2021,no,1990,NA,NA
di84,Dimitry Ipatov,1,Russian,Osvsm Magadan,2002,2013,no,1984,NA,NA
jr,Joerg Ritzerfeld,1,German,WSV Oberhof 05,2001,2011,no,1983,NA,NA
vl90,Ville Larinto,1,Finnish,Lahden Hiihtoseura,2006,2018,no,1990,NA,NA
ab,Anders Bardal,1,Norwegian,Steinkjer Skiklubb,2001,2015,no,1982,NA,NA
ak88,Anssi Koivuranta,1,Finnish,Kuusamon Erae Veikot,2004,2015,no,1988,NA,NA
ho,Harri Olli,1,Finnish,Ounasvaaran Hiihtoseura,2001,2016,no,1985,NA,NA
to,Takanobu Okabe,1,Japanese,Megmilk Snow Brand,1988,2014,no,1970,NA,NA
sc,Sebastian Colloredo,1,Italian,GS Fiamme Gialle,2002,2019,no,1987,NA,NA
pp92,Peter Prevc,1,Slovenian,SK Triglav Kranj,2006,2024,no,1992,NA,NA
sl,Stephan Leyhe,1,German,SC Willingen,2006,2025,no,1992,NA,NA
tt87,Taku Takeuchi,1,Japanese,Team Taku,2005,NA,yes,1987,NA,NA
aw88,Andreas Wank,1,German,SC Hinterzarten,2002,2019,no,1988,NA,NA
jm,Jan Matura,1,Czech,TJ Dukla Liberec,1997,2017,no,1980,NA,NA
vs,Vincent Descombes Sevoie,1,French,Ski Club Les Houches,2002,2018,no,1984,NA,NA
mk91b,Marinus Kraus,1,German,WSV Oberaudorf,2009,2022,no,1991,NA,NA
gd,Gregor Deschwanden,1,Swiss,Skiclub Horw,2006,NA,yes,1991,NA,NA
pa,Philipp Aschenwald,1,Austrian,SC Mayrhofen,2008,NA,yes,1995,NA,NA
ys,Yukiya Sato,1,Japanese,Megmilk Snow Brand,2009,NA,yes,1995,NA,NA
